"comparison","chisq","df","p"
"axis_group_median",15.3386162446708,1,8.98607472638575e-05
"axis_group_tertile",14.3761639351865,2,0.000755536875841234
"axis_group_quartile",21.3340997725092,3,8.97270565430267e-05
