"stage_group","n","mean","median"
"I",269,-0.0255184600243019,-0.105123925649364
"II",120,0.23371235832546,0.240865019237045
"III",80,0.396202267559693,0.400626687183391
"IV",25,0.684263171587099,0.413294619690408
