"time","n.risk","n.event","survival","std.err","lower","upper","strata"
18,249,1,0.995983935742972,0.00400799175789717,0.988159313968636,1,"axis_group_median=low"
19,248,1,0.991967871485944,0.0056567170242402,0.980942637675727,1,"axis_group_median=low"
33,247,1,0.987951807228916,0.00691399657816461,0.974493136498695,1,"axis_group_median=low"
38,245,1,0.983919350872879,0.00797547789775362,0.968411217446043,0.99967583148741,"axis_group_median=low"
154,233,1,0.979696521040807,0.00898994906351143,0.962234047847901,0.997475900469461,"axis_group_median=low"
164,232,1,0.975473691208734,0.00989340169350791,0.956274436214103,0.995058412318937,"axis_group_median=low"
167,231,1,0.971250861376662,0.0107139575513104,0.950477267837582,0.992478481753763,"axis_group_median=low"
171,230,1,0.967028031544589,0.0114694224872511,0.944807646096997,0.98977100540632,"axis_group_median=low"
187,227,1,0.962767996163336,0.01218438138243,0.939180790874438,0.986947586069494,"axis_group_median=low"
193,226,1,0.958507960782082,0.012853632152847,0.933643494913739,0.984034608378553,"axis_group_median=low"
237,223,1,0.95420971880548,0.0134955349035458,0.928122200838652,0.981030500768208,"axis_group_median=low"
243,222,1,0.949911476828879,0.0141026244282974,0.922669113755272,0.977958187132464,"axis_group_median=low"
268,219,1,0.945573981500894,0.0146901268826412,0.917215797142453,0.974808935124116,"axis_group_median=low"
274,218,1,0.941236486172908,0.0152496595810465,0.911817275381139,0.971604889294081,"axis_group_median=low"
282,217,1,0.936898990844922,0.0157841972964964,0.906467718736793,0.968351879391207,"axis_group_median=low"
307,216,1,0.932561495516936,0.0162961998238506,0.901162306722249,0.965054725917237,"axis_group_median=low"
321,214,1,0.928203731519194,0.0167925986493442,0.895867530629334,0.961707102612504,"axis_group_median=low"
339,212,1,0.923825412030895,0.017274738963544,0.890580474394059,0.958311367083063,"axis_group_median=low"
343,211,1,0.919447092542597,0.0177390401553375,0.885328359299285,0.954880691559609,"axis_group_median=low"
385,204,1,0.914939998951702,0.0182156632314962,0.879925550508071,0.951347760271751,"axis_group_median=low"
409,202,1,0.910410593016298,0.0186801291102135,0.874524630327697,0.947769129802217,"axis_group_median=low"
428,192,1,0.905668871177671,0.0191752091168506,0.868855265288478,0.944042278374064,"axis_group_median=low"
429,191,1,0.900927149339045,0.0196523482009582,0.863221034380987,0.940280294488216,"axis_group_median=low"
434,190,1,0.896185427500418,0.0201128232474836,0.857619435392902,0.936485680383585,"axis_group_median=low"
444,186,1,0.891367226277298,0.0205737178074442,0.851941965358453,0.93261696733883,"axis_group_median=low"
457,183,1,0.886496367117312,0.0210299819024974,0.846221903978128,0.928687623444577,"axis_group_median=low"
468,181,1,0.881598597133239,0.0214765547899516,0.840494422659054,0.924712961221602,"axis_group_median=low"
469,180,1,0.876700827149165,0.0219085966966526,0.834795390105543,0.920709852299084,"axis_group_median=low"
582,160,1,0.871221446979483,0.0224464136462415,0.828319610069816,0.916345333914102,"axis_group_median=low"
607,151,1,0.865451768522665,0.0230273514987347,0.821475619403201,0.911782097907129,"axis_group_median=low"
626,142,1,0.859357037758421,0.0236579993290095,0.814216986382102,0.906999645913015,"axis_group_median=low"
653,135,1,0.852991430071322,0.0243240741480476,0.806624918983196,0.902023186554042,"axis_group_median=low"
697,126,1,0.846221656816787,0.0250553889223686,0.798511728960671,0.896782184273987,"axis_group_median=low"
702,124,1,0.839397288616652,0.0257659542744598,0.790386050807648,0.89144767600214,"axis_group_median=low"
719,121,1,0.832460120942134,0.0264704178641782,0.782162667882886,0.885991982760745,"axis_group_median=low"
777,115,1,0.825221337281768,0.02721202948562,0.773573726030293,0.880317198723528,"axis_group_median=low"
800,113,1,0.817918493589009,0.0279339579669169,0.764961135049674,0.874542027695919,"axis_group_median=low"
855,105,1,0.810128793650066,0.0287335228962468,0.755724989672315,0.868449067147414,"axis_group_median=low"
869,103,1,0.802263465556376,0.0295114310908384,0.746458016763444,0.862240948201236,"axis_group_median=low"
879,101,1,0.794320262927105,0.0302693521690878,0.737154804967584,0.855918832577278,"axis_group_median=low"
896,97,1,0.786131394237135,0.0310452234383115,0.727579112148635,0.849395699637638,"axis_group_median=low"
922,92,1,0.777586487778035,0.0318620345844381,0.717579880016314,0.842611063678701,"axis_group_median=low"
929,91,1,0.769041581318936,0.032637601748927,0.70766123764723,0.83574586586634,"axis_group_median=low"
952,89,1,0.760400664674903,0.0333951592089536,0.697685263022201,0.828753596332785,"axis_group_median=low"
987,87,1,0.751660427149904,0.0341359057709482,0.687646474174953,0.821633526763971,"axis_group_median=low"
995,84,1,0.742712088731453,0.0348826666621559,0.677395714120234,0.814326449443593,"axis_group_median=low"
999,82,1,0.733654624234728,0.0356137689902387,0.667070621936197,0.806884743475454,"axis_group_median=low"
1026,81,1,0.724597159738003,0.0363075978117219,0.656818274236155,0.799370334984933,"axis_group_median=low"
1147,74,1,0.71480530622803,0.0371138646710883,0.645642315828088,0.791377227430358,"axis_group_median=low"
1209,69,1,0.704445809036319,0.0379942934252447,0.633779261262973,0.782991694742326,"axis_group_median=low"
1215,68,1,0.694086311844609,0.0388221798501033,0.622018651715232,0.774503798176466,"axis_group_median=low"
1229,66,1,0.683569852574236,0.039632768005949,0.610142107017541,0.765834283479355,"axis_group_median=low"
1268,63,1,0.67271953745401,0.0404616781064962,0.597912051878708,0.756886526455468,"axis_group_median=low"
1357,57,1,0.660917440305694,0.0414373423539188,0.584493498268771,0.74733399805821,"axis_group_median=low"
1421,53,1,0.648447299922568,0.0424904754040064,0.570293520068571,0.737311377352332,"axis_group_median=low"
1492,46,1,0.634350619489468,0.0438428192213208,0.55398627881397,0.726373059831324,"axis_group_median=low"
1498,45,1,0.620253939056369,0.0450778406375512,0.537907058885642,0.715207102342064,"axis_group_median=low"
1499,44,1,0.60615725862327,0.0462049484132554,0.522037395145877,0.703831996707831,"axis_group_median=low"
1531,43,1,0.59206057819017,0.0472318687038191,0.506362111788862,0.692262947969223,"axis_group_median=low"
1600,41,1,0.577620076283093,0.0482368804869398,0.490409294158763,0.680339782502721,"axis_group_median=low"
1622,40,1,0.563179574376016,0.0491449483467048,0.474644200626839,0.668229449713023,"axis_group_median=low"
1653,39,1,0.548739072468938,0.0499613585475989,0.459056407484093,0.655942417413061,"axis_group_median=low"
1725,36,1,0.533496320455912,0.0508456157539839,0.442594966395262,0.64306724104453,"axis_group_median=low"
1778,34,1,0.517805252207209,0.0517146604612195,0.425749914739712,0.629764727909086,"axis_group_median=low"
1790,33,1,0.502114183958506,0.0524740454873334,0.409116175400404,0.616251981446508,"axis_group_median=low"
1798,32,1,0.486423115709802,0.0531284732602426,0.392684380291279,0.60253847459205,"axis_group_median=low"
1830,31,1,0.470732047461099,0.0536817824787138,0.376446831959427,0.588632023687215,"axis_group_median=low"
2174,21,1,0.448316235677237,0.0556089832619399,0.351561846108353,0.571698690846739,"axis_group_median=low"
2318,19,1,0.424720644325804,0.0574705388278696,0.325779765908467,0.55371034236426,"axis_group_median=low"
2617,13,1,0.392049825531511,0.0616404876589795,0.288078015706647,0.533546669023872,"axis_group_median=low"
2681,12,1,0.359379006737218,0.064584139396597,0.252687028098468,0.51111951197234,"axis_group_median=low"
3169,9,1,0.319448005988639,0.0686513840453509,0.20963877853336,0.486775534774825,"axis_group_median=low"
3361,7,1,0.27381257656169,0.0724410150941348,0.163025637098648,0.459886729582198,"axis_group_median=low"
4,251,1,0.99601593625498,0.00397611944250896,0.98825329327611,1,"axis_group_median=high"
22,248,1,0.991999742963629,0.0056344525640682,0.981017660672532,1,"axis_group_median=high"
58,242,1,0.987900570472044,0.00694399062282082,0.974383919884291,1,"axis_group_median=high"
62,241,1,0.983801397980459,0.00803449876966891,0.968179430692976,0.999675432037999,"axis_group_median=high"
74,239,1,0.979685074139537,0.00899373853038236,0.962215307972029,0.997472017478742,"axis_group_median=high"
87,237,1,0.975551381843589,0.009860095968653,0.956416107165311,0.995069501116673,"axis_group_median=high"
91,236,1,0.971417689547642,0.0106496166523057,0.950767474680323,0.992516417206387,"axis_group_median=high"
97,235,1,0.967283997251694,0.0113783065410871,0.945238041373412,0.98984413490146,"axis_group_median=high"
99,234,1,0.963150304955747,0.0120571998082755,0.939806182208899,0.987074279247664,"axis_group_median=high"
116,233,1,0.9590166126598,0.0126942883716367,0.934456234570731,0.98422251287132,"axis_group_median=high"
118,232,1,0.954882920363852,0.0132955830966423,0.929176418419598,0.981300615822179,"axis_group_median=high"
119,231,1,0.950749228067905,0.0138657414179347,0.923957606228768,0.978317715637604,"axis_group_median=high"
121,230,1,0.946615535771957,0.0144084601130791,0.918792553197258,0.975281057129386,"axis_group_median=high"
124,229,1,0.94248184347601,0.0149267325012279,0.913675393175289,0.972196506458309,"axis_group_median=high"
139,227,1,0.938329941081842,0.015427603853618,0.908574402056125,0.96905996508172,"axis_group_median=high"
161,225,1,0.934159585788145,0.0159127174058083,0.903486122285474,0.9658744170994,"axis_group_median=high"
173,223,1,0.929970529349633,0.0163834729768119,0.898407568080795,0.962642364318397,"axis_group_median=high"
176,221,1,0.925762517904613,0.0168410746448693,0.893336131828167,0.959365919525953,"axis_group_median=high"
179,220,1,0.921554506459592,0.0172822494922438,0.888296871583266,0.95605729969789,"axis_group_median=high"
189,216,1,0.917288050411168,0.0177210441281671,0.88320478623922,0.952686602854549,"axis_group_median=high"
210,214,1,0.913001657652237,0.0181492330117562,0.878113866749465,0.949275553478487,"axis_group_median=high"
244,211,2,0.904347613503874,0.0189808088432581,0.867900700627134,0.942325090254206,"axis_group_median=high"
250,209,1,0.900020591429693,0.0193769274516862,0.862832637542636,0.93881134040601,"axis_group_median=high"
257,207,1,0.895672665867231,0.0197651088178741,0.85775956762907,0.935261528587961,"axis_group_median=high"
258,206,1,0.891324740304769,0.0201417131591617,0.852709167655096,0.931689048053845,"axis_group_median=high"
260,205,1,0.886976814742306,0.0205073782985184,0.847680187712509,0.928095148729872,"axis_group_median=high"
275,204,1,0.882628889179844,0.0208626794458475,0.842671500591456,0.924480957844255,"axis_group_median=high"
281,203,1,0.878280963617382,0.0212081374932096,0.837682085524002,0.920847496183651,"axis_group_median=high"
291,200,1,0.873889558799295,0.0215519489534916,0.832653161816946,0.917168151156696,"axis_group_median=high"
300,199,1,0.869498153981208,0.0218864697095938,0.827642426961984,0.913470618648523,"axis_group_median=high"
303,198,1,0.865106749163121,0.0222121195273224,0.822649058356323,0.909755721282813,"axis_group_median=high"
