"model","term","n","events","HR","CI95_low","CI95_high","p"
"cox_axis_age_stage_stratified_by_gender","axis_score",204,54,1.40703110285598,1.01758987274334,1.94551516031394,0.0388823063029699
"cox_axis_age_stage_stratified_by_gender","age",204,54,1.02268216343831,0.98527464063724,1.06150992249068,0.238123105153455
"cox_axis_age_stage_stratified_by_gender","stage_groupIB",204,54,2.19577313451937,1.07175215684314,4.49863303515859,0.0316088434547721
"cox_axis_age_stage_stratified_by_gender","stage_groupII",204,54,4.16784162883916,2.07167994296686,8.38493605252929,6.27723317566604e-05
