"model","term","n","events","HR","CI95_low","CI95_high","p"
"cox_axis_continuous","axis_score",204,54,1.53704716915773,1.11270005264643,2.12322628600296,0.00911221147404105
"cox_axis_median","axis_group_medianhigh",204,54,1.64461490694593,0.939896226889467,2.87772002351793,0.0813649406426218
"cox_risk_immune","risk_score",204,54,2.35293114139335,1.69110881156111,3.27376033895057,3.81929686644085e-07
"cox_risk_immune","immune_score",204,54,1.00653345918556,0.735585199528389,1.37728383484278,0.967534733609957
"cox_axis_adjusted_age_gender_stage","axis_score",204,54,1.39504801810097,1.00961262237828,1.92762939930665,0.043596489528625
"cox_axis_adjusted_age_gender_stage","age",204,54,1.02522142957358,0.988318652368508,1.0635021175994,0.182944752158951
"cox_axis_adjusted_age_gender_stage","gendermale",204,54,1.09287692737808,0.630709103794271,1.89370974861487,0.751507377080423
"cox_axis_adjusted_age_gender_stage","stage_groupIB",204,54,2.24703000911406,1.09692758225843,4.60298742006616,0.0269100205960165
"cox_axis_adjusted_age_gender_stage","stage_groupII",204,54,4.36138243849314,2.16531574556435,8.78470348435892,3.74911172010882e-05
"cox_clinical_baseline","age",204,54,1.0237007232435,0.985997269106309,1.06284591611407,0.221164314249247
"cox_clinical_baseline","gendermale",204,54,1.11087531125874,0.64200708966904,1.9221656225017,0.707019338463123
"cox_clinical_baseline","stage_groupIB",204,54,2.44136342293303,1.20363839867831,4.95186541853443,0.0133743505751274
"cox_clinical_baseline","stage_groupII",204,54,4.74859022273511,2.37644571780647,9.48858580463137,1.02999447133717e-05
"cox_clinical_plus_axis","age",204,54,1.02522142957358,0.988318652368508,1.0635021175994,0.182944752158951
"cox_clinical_plus_axis","gendermale",204,54,1.09287692737808,0.630709103794271,1.89370974861487,0.751507377080421
"cox_clinical_plus_axis","stage_groupIB",204,54,2.24703000911406,1.09692758225843,4.60298742006616,0.0269100205960165
"cox_clinical_plus_axis","stage_groupII",204,54,4.36138243849314,2.16531574556435,8.78470348435892,3.7491117201088e-05
"cox_clinical_plus_axis","axis_score",204,54,1.39504801810097,1.00961262237828,1.92762939930665,0.043596489528625
