"model","apparent_cindex","optimism_mean","optimism_adjusted_cindex","bootstrap_runs"
"clinical_baseline",0.663340408051486,0.0151813276688108,0.648159080382675,200
"clinical_plus_axis",0.690127344926742,0.013731570672598,0.676395774254144,200
