"time","n.risk","n.event","survival","std.err","lower","upper","strata"
11.5333333333333,102,1,0.990196078431373,0.00975574475830787,0.971258601976049,1,"axis_group_median=low"
18.8,101,1,0.980392156862745,0.0137282361179217,0.953851182750691,1,"axis_group_median=low"
21,100,1,0.970588235294118,0.0167293076174859,0.93834705401151,1,"axis_group_median=low"
23.4,99,1,0.96078431372549,0.0192195305650903,0.923843626997775,0.999202105772804,"axis_group_median=low"
29.0333333333333,93,1,0.95045329959941,0.0216118348505782,0.909024898742376,0.993769781189925,"axis_group_median=low"
33.3666666666667,91,1,0.94000875784557,0.0237645151647155,0.894566301941576,0.987759613690524,"axis_group_median=low"
34.7333333333333,90,1,0.929564216091731,0.0256933495980986,0.880545918007318,0.981311268574926,"axis_group_median=low"
37.6,88,1,0.919000986363415,0.0274871595209761,0.866675834948245,0.974485244517479,"axis_group_median=low"
42.7,84,1,0.908060498430518,0.0292563022220991,0.852492150922527,0.967250980454852,"axis_group_median=low"
44.8333333333333,81,1,0.896849874993104,0.0309685981213403,0.838160923947589,0.959648291030855,"axis_group_median=low"
47.6333333333333,79,1,0.8854973449299,0.0325910484163784,0.82386961165957,0.951735003671796,"axis_group_median=low"
50.9666666666667,74,1,0.873531164593009,0.0342770683402805,0.808867790977893,0.94336392674594,"axis_group_median=low"
51.2333333333333,73,1,0.861564984256119,0.0358354062932862,0.794115520949476,0.934743374879173,"axis_group_median=low"
52,71,1,0.849430266168005,0.0373287359679222,0.779329571038518,0.925836518843689,"axis_group_median=low"
56.0666666666667,65,1,0.836362108226958,0.0389748488732783,0.763357497517109,0.916348602526387,"axis_group_median=low"
60.7666666666667,54,1,0.82087392103757,0.0412157824906347,0.743940045646084,0.905763842373072,"axis_group_median=low"
61.3666666666667,49,1,0.804121392036804,0.0436466678848667,0.722968704656512,0.894383406870172,"axis_group_median=low"
64.5333333333333,37,1,0.782388381441214,0.0475710702842387,0.694492114033585,0.881408970735412,"axis_group_median=low"
66.2666666666667,30,1,0.756308768726507,0.0526510087660206,0.659845249569713,0.866874398240511,"axis_group_median=low"
89.0333333333333,7,1,0.648264658908435,0.109738546429899,0.465222326050121,0.903325237113392,"axis_group_median=low"
7.36666666666667,102,1,0.990196078431373,0.00975574475830787,0.971258601976049,1,"axis_group_median=high"
14.1666666666667,99,1,0.980194097841157,0.0138668908824961,0.953388833740858,1,"axis_group_median=high"
18,98,1,0.970192117250941,0.0169530288964506,0.937527338743393,1,"axis_group_median=high"
18.2,97,1,0.960190136660725,0.0195068740150688,0.922708537745595,0.999194285980197,"axis_group_median=high"
18.8333333333333,96,1,0.950188156070509,0.0217170324394167,0.9085628383958,0.993720515281916,"axis_group_median=high"
21.3,94,1,0.940079771431461,0.0237221548009838,0.894716246122793,0.98774329904516,"axis_group_median=high"
24.7666666666667,93,1,0.929971386792413,0.0255300701135109,0.881255718312196,0.981380049265361,"axis_group_median=high"
25.9666666666667,91,1,0.919751921003486,0.0272181570130212,0.867922911985099,0.974675958553478,"axis_group_median=high"
31.4333333333333,88,1,0.909300194628446,0.0288458657526569,0.854485092767968,0.967631677777966,"axis_group_median=high"
34.6,86,1,0.898726936551371,0.0303865026649291,0.841100939767692,0.960301039142933,"axis_group_median=high"
34.8,85,1,0.888153678474296,0.0318154093338536,0.827935315159075,0.952751914484847,"axis_group_median=high"
36.6,84,1,0.877580420397221,0.0331470383540528,0.814959903713407,0.945012620566174,"axis_group_median=high"
38.1,81,1,0.866746094219478,0.034462995076023,0.80176477251983,0.936994013198728,"axis_group_median=high"
39.6333333333333,77,1,0.855489651437407,0.0358065776411358,0.78811149475563,0.928628180893903,"axis_group_median=high"
40.9666666666667,76,1,0.844233208655336,0.0370625621265112,0.774629359870565,0.920091268830264,"axis_group_median=high"
41.4,74,1,0.832824651781615,0.0382773489649706,0.76108227018784,0.911329731073598,"axis_group_median=high"
43.7,72,1,0.821257642729092,0.0394547428908698,0.747456840344293,0.902345231639428,"axis_group_median=high"
43.9,71,1,0.80969063367657,0.0405591758150071,0.73397381654309,0.893218405734609,"axis_group_median=high"
44.8666666666667,70,1,0.798123624624048,0.041596459734095,0.720621808623657,0.883960646985776,"axis_group_median=high"
47.7666666666667,65,1,0.785844799629832,0.042730388100231,0.70640313197026,0.874220429038599,"axis_group_median=high"
49.4,63,2,0.760897345673329,0.0448676464082344,0.67784980791068,0.854119546684312,"axis_group_median=high"
54.1666666666667,58,1,0.74777842592034,0.0459720066167584,0.662891830051132,0.84353517259184,"axis_group_median=high"
