"time","n.risk","n.event","survival","std.err","lower","upper","strata"
4,199,1,0.994974874371859,0.00501248378263375,0.985198929486363,1,"axis_group_median=low"
23,195,1,0.98987243911867,0.0071252575856905,0.976005240990496,1,"axis_group_median=low"
40,192,1,0.98471685349826,0.00875690877528675,0.967702336573715,1,"axis_group_median=low"
76,190,1,0.979534133216691,0.0101290473028338,0.959881392578238,0.999589246708278,"axis_group_median=low"
80,188,1,0.974323845274049,0.0113363018328377,0.952356528242359,0.996797866468791,"axis_group_median=low"
131,186,1,0.96908554503064,0.012426820627925,0.945032948378754,0.993750318651266,"axis_group_median=low"
216,185,1,0.963847244787231,0.0134183598243527,0.937903305148588,0.990508836235265,"axis_group_median=low"
219,184,1,0.958608944543822,0.0143314782076635,0.930927307996412,0.98711370980962,"axis_group_median=low"
223,183,1,0.953370644300413,0.0151803337460486,0.924077210889358,0.983592685441316,"axis_group_median=low"
294,181,1,0.948103403171682,0.0159841730674102,0.917286941307799,0.979955151028467,"axis_group_median=low"
307,180,1,0.94283616204295,0.0167407452375954,0.910589264290587,0.976225026272879,"axis_group_median=low"
325,179,1,0.937568920914219,0.0174561971810837,0.903972133850321,0.972414357199424,"axis_group_median=low"
328,178,1,0.932301679785487,0.0181353962017192,0.897426011738544,0.968532682094877,"axis_group_median=low"
332,177,1,0.927034438656755,0.0187822756133393,0.890943190076873,0.964587708876808,"axis_group_median=low"
349,176,1,0.921767197528024,0.0194000686981052,0.884517332847377,0.960585773603235,"axis_group_median=low"
358,175,1,0.916499956399292,0.0199914721874257,0.878143155506233,0.956532160858985,"axis_group_median=low"
382,174,1,0.911232715270561,0.020558763615638,0.871816194998135,0.952431333741323,"axis_group_median=low"
398,173,1,0.905965474141829,0.0211038875338266,0.865532640798647,0.948287102817616,"axis_group_median=low"
488,171,1,0.900667430433397,0.021635280588131,0.859245797791059,0.944085874296888,"axis_group_median=low"
489,170,1,0.895369386724966,0.0221472081760358,0.852997065443764,0.939846537768769,"axis_group_median=low"
508,169,1,0.890071343016534,0.0226409907167714,0.846783856292606,0.935571680744823,"axis_group_median=low"
520,168,1,0.884773299308102,0.023117790942474,0.840603891871212,0.931263581739972,"axis_group_median=low"
541,166,1,0.879443339673716,0.0235849537617205,0.834411537092015,0.926905433728644,"axis_group_median=low"
558,161,1,0.873980958681954,0.0240627065040025,0.828068823712197,0.922438684159553,"axis_group_median=low"
600,155,1,0.868342371851748,0.0245592210673973,0.821517017913083,0.917836707349737,"axis_group_median=low"
651,150,1,0.86255342270607,0.0250684781045561,0.81479329324995,0.913113071972382,"axis_group_median=low"
732,136,1,0.856211118127348,0.0256739173197283,0.807341282552219,0.908039133694947,"axis_group_median=low"
759,128,1,0.849521968766978,0.0263303284006299,0.79945169686092,0.902728180140787,"axis_group_median=low"
780,122,1,0.84255867394102,0.027019575534328,0.791231219279435,0.897215759104844,"axis_group_median=low"
809,116,1,0.835295237096701,0.027745760545085,0.782646935939711,0.891485165374978,"axis_group_median=low"
814,115,1,0.828031800252382,0.0284393370597042,0.774126434472291,0.885690801524672,"axis_group_median=low"
844,102,1,0.819913841426378,0.029296246399565,0.76445871204666,0.879391779789838,"axis_group_median=low"
871,93,1,0.811097563561578,0.0302787524491471,0.753871350522578,0.872667806197292,"axis_group_median=low"
917,81,1,0.801084013394151,0.0315172769885105,0.741632920714667,0.865300849775221,"axis_group_median=low"
932,74,1,0.79025855375369,0.0328980253837871,0.728339992105004,0.857441014567876,"axis_group_median=low"
951,70,1,0.778969145842923,0.0343104745821355,0.714542776758459,0.84920448419895,"axis_group_median=low"
1037,53,1,0.764271614789283,0.0366762375502552,0.695664524317892,0.83964480112788,"axis_group_median=low"
1079,44,1,0.746901805362254,0.0397435707677561,0.67293020145556,0.829004710513405,"axis_group_median=low"
1119,40,1,0.728229260228197,0.0429128000645227,0.648797045840415,0.81738635965206,"axis_group_median=low"
1135,37,1,0.708547388330138,0.0460458360815431,0.623810251103321,0.804795048849409,"axis_group_median=low"
1357,23,1,0.677740980141871,0.0533632132470908,0.580821640111318,0.79083285546253,"axis_group_median=low"
