"term","chisq","df","p"
"axis_score",0.301755559160384,1,0.582783930369071
"age",0.210683402176225,1,0.646232286969048
"gender",7.30199609186836,1,0.00688780495797909
"stage_group",0.283426851852068,2,0.867869929874016
"GLOBAL",8.26213759248004,5,0.142368197853827
