"term","chisq","df","p"
"axis_score",0.177519694646987,1,0.673513497773106
"age",0.302175915127786,1,0.582521522137428
"gender",0.526347970833168,1,0.468146308157338
"stage_group",4.19609598038798,3,0.2410530423385
"GLOBAL",5.18069604651546,6,0.520855342878089
