"variable","missing_n","total_n","missing_pct"
"eligible_tumor",20,246,8.13008130081301
"eligible_prognosis",22,246,8.94308943089431
"RFS_time_months",20,246,8.13008130081301
"RFS_event",20,246,8.13008130081301
"age",5,246,2.03252032520325
"gender",0,246,0
"stage_group",20,246,8.13008130081301
"CA9",0,246,0
"MKI67",0,246,0
"STAT1",0,246,0
"HIF1A",0,246,0
"CD4",0,246,0
"CD8A",0,246,0
"CD8B",0,246,0
"TIGIT",0,246,0
