"term","chisq","df","p"
"axis_score",0.125975902033835,1,0.722641402816665
"age",0.319711111584789,1,0.571781308035773
"stage_group",0.235899388020525,2,0.888740760473647
"GLOBAL",1.0013493066859,4,0.909591321630223
